'Soil';'top';'bot';'layer'
'Sand';0;-0.685;0
'Sand';-0.685;-1.37;0
'Sand';-1.37;-2.055;0
'Sand';-2.055;-2.2;0
'Clay';-2.2;-3.1;-2.2
'Clay';-3.1;-4;-2.2
'Sand';-4;-5;-4
Sand';-5;-6;-4
'Sand';-6;-7;-4
'Sand';-7;-7.86375;-7
'Sand';-7.86375;-8.7275;-7
'Sand';-8.7275;-9.59125;-7
'Sand';-9.59125;-10.455;-7
'Sand';-10.455;-11.3275;-7
'Sand';-11.3275;-12.2;-7
'Sand';-12.2;-13.01833333;-12.2
'Sand';-13.01833333;-13.83666667;-12.2
'Sand';-13.83666667;-14.655;-12.2
'Sand';-14.655;-15;-12.2
'Clay';-15;-15.96375;-15
'Clay';-15.96375;-16.9275;-15
'Clay';-16.9275;-17.89125;-15
'Clay';-17.89125;-18.855;-15
'Clay';-18.855;-19.4275;-15
'Clay';-19.4275;-20;-15
'Clay';-20;-21;-20
'Clay';-21;-22;-20
'Clay';-22;-23;-20
'Clay';-23;-24;-20
'Clay';-24;-25;-20
'Clay';-25;-25.83;-25
'Clay';-25.83;-26.66;-25
'Clay';-26.66;-27.49;-25
'Clay';-27.49;-28.32;-25
'Clay';-28.32;-29.15;-25
'Clay';-29.15;-29.675;-25
'Clay';-29.675;-30.2;-25
'Sand';-30.2;-31.06666667;-30.2
'Sand';-31.06666667;-31.93333333;-30.2
'Sand';-31.93333333;-32.8;-30.2
'Sand';-32.8;-32.97333333;-30.2
